90 cm decrements in Y axis
INFO:root:Datetime: 28/07/2021 15:04:23 | position: 0.23 14.58 0.35
INFO:root:Datetime: 28/07/2021 15:04:23 | position: 0.24 14.75 0.74
INFO:root:Datetime: 28/07/2021 15:04:24 | position: 0.21 14.81 0.93
INFO:root:Datetime: 28/07/2021 15:04:24 | position: 0.23 14.82 0.93
INFO:root:Datetime: 28/07/2021 15:04:24 | position: 0.18 14.82 0.88
INFO:root:Datetime: 28/07/2021 15:04:24 | position: 0.22 14.69 0.55
INFO:root:Datetime: 28/07/2021 15:04:25 | position: 0.18 14.62 0.40
INFO:root:Datetime: 28/07/2021 15:04:25 | position: 0.23 14.62 0.35
INFO:root:Datetime: 28/07/2021 15:04:25 | position: 0.24 14.66 0.48
INFO:root:Datetime: 28/07/2021 15:04:26 | position: 0.25 14.68 0.51
INFO:root:Datetime: 28/07/2021 15:04:26 | position: 0.24 14.82 0.81
INFO:root:Datetime: 28/07/2021 15:04:26 | position: 0.23 14.66 0.48
INFO:root:Datetime: 28/07/2021 15:04:27 | position: 0.19 14.87 1.09
INFO:root:Datetime: 28/07/2021 15:04:27 | position: 0.26 14.89 1.01
INFO:root:Datetime: 28/07/2021 15:04:27 | position: 0.24 14.85 0.94
INFO:root:Datetime: 28/07/2021 15:04:27 | position: 0.23 14.69 0.60
INFO:root:Datetime: 28/07/2021 15:04:28 | position: 0.22 14.68 0.67
INFO:root:Datetime: 28/07/2021 15:04:28 | position: 0.20 14.50 0.23
INFO:root:Datetime: 28/07/2021 15:04:28 | position: 0.22 14.56 0.33
INFO:root:Datetime: 28/07/2021 15:04:29 | position: 0.23 14.76 0.79
INFO:root:Datetime: 28/07/2021 15:04:29 | position: 0.23 14.81 0.89
INFO:root:Datetime: 28/07/2021 15:04:29 | position: 0.23 14.75 0.74
INFO:root:Datetime: 28/07/2021 15:04:30 | position: 0.21 14.65 0.48
INFO:root:Datetime: 28/07/2021 15:04:30 | position: 0.22 14.89 0.99
INFO:root:Datetime: 28/07/2021 15:04:30 | position: 0.20 14.91 1.15
INFO:root:Datetime: 28/07/2021 15:04:30 | position: 0.17 14.91 1.11
INFO:root:Datetime: 28/07/2021 15:04:31 | position: 0.17 14.63 0.46
INFO:root:Datetime: 28/07/2021 15:04:31 | position: 0.17 14.51 0.19
INFO:root:Datetime: 28/07/2021 15:04:31 | position: 0.19 14.71 0.64
INFO:root:Datetime: 28/07/2021 15:04:32 | position: 0.19 14.66 0.46
INFO:root:Datetime: 28/07/2021 15:04:32 | position: 0.21 14.64 0.50
