INFO:root:Datetime: 28/07/2021 14:35:40 | position: 2.63 -2.40 0.14
INFO:root:Datetime: 28/07/2021 14:35:40 | position: 2.60 -2.60 0.51
INFO:root:Datetime: 28/07/2021 14:35:40 | position: 2.61 -2.47 0.29
INFO:root:Datetime: 28/07/2021 14:35:41 | position: 2.59 -2.45 0.25
INFO:root:Datetime: 28/07/2021 14:35:41 | position: 2.61 -2.44 0.22
INFO:root:Datetime: 28/07/2021 14:35:41 | position: 2.62 -2.42 0.18
INFO:root:Datetime: 28/07/2021 14:35:41 | position: 2.61 -2.44 0.20
INFO:root:Datetime: 28/07/2021 14:35:42 | position: 2.61 -2.47 0.22
INFO:root:Datetime: 28/07/2021 14:35:42 | position: 2.61 -2.44 0.19
INFO:root:Datetime: 28/07/2021 14:35:42 | position: 2.61 -2.45 0.19
INFO:root:Datetime: 28/07/2021 14:35:43 | position: 2.62 -2.43 0.18
INFO:root:Datetime: 28/07/2021 14:35:43 | position: 2.63 -2.44 0.20
INFO:root:Datetime: 28/07/2021 14:35:43 | position: 2.62 -2.46 0.22
INFO:root:Datetime: 28/07/2021 14:35:44 | position: 2.61 -2.40 0.15
INFO:root:Datetime: 28/07/2021 14:35:44 | position: 2.60 -2.54 0.36
INFO:root:Datetime: 28/07/2021 14:35:44 | position: 2.60 -2.46 0.24
INFO:root:Datetime: 28/07/2021 14:35:44 | position: 2.59 -2.66 0.71
INFO:root:Datetime: 28/07/2021 14:35:45 | position: 2.60 -2.57 0.45
INFO:root:Datetime: 28/07/2021 14:35:45 | position: 2.60 -2.52 0.34
INFO:root:Datetime: 28/07/2021 14:35:45 | position: 2.61 -2.58 0.42
INFO:root:Datetime: 28/07/2021 14:35:46 | position: 2.59 -2.62 0.51
INFO:root:Datetime: 28/07/2021 14:35:46 | position: 2.59 -2.51 0.36
INFO:root:Datetime: 28/07/2021 14:35:46 | position: 2.59 -2.67 0.72
INFO:root:Datetime: 28/07/2021 14:35:47 | position: 2.60 -2.51 0.38
INFO:root:Datetime: 28/07/2021 14:35:47 | position: 2.62 -2.41 0.22
INFO:root:Datetime: 28/07/2021 14:35:47 | position: 2.62 -2.39 0.17
INFO:root:Datetime: 28/07/2021 14:35:47 | position: 2.61 -2.61 0.56
INFO:root:Datetime: 28/07/2021 14:35:48 | position: 2.60 -2.54 0.41
INFO:root:Datetime: 28/07/2021 14:35:48 | position: 2.61 -2.55 0.39
INFO:root:Datetime: 28/07/2021 14:35:48 | position: 2.61 -2.44 0.23
INFO:root:Datetime: 28/07/2021 14:35:49 | position: 2.61 -2.43 0.20
INFO:root:Datetime: 28/07/2021 14:35:49 | position: 2.62 -2.42 0.19
INFO:root:Datetime: 28/07/2021 14:35:49 | position: 2.60 -2.40 0.16
INFO:root:Datetime: 28/07/2021 14:35:50 | position: 2.61 -2.41 0.16
INFO:root:Datetime: 28/07/2021 14:35:50 | position: 2.62 -2.42 0.17
INFO:root:Datetime: 28/07/2021 14:35:50 | position: 2.61 -2.45 0.19
INFO:root:Datetime: 28/07/2021 14:35:50 | position: 2.60 -2.52 0.31
INFO:root:Datetime: 28/07/2021 14:35:51 | position: 2.62 -2.46 0.23
INFO:root:Datetime: 28/07/2021 14:35:51 | position: nan nan nan
INFO:root:Datetime: 28/07/2021 14:35:51 | position: 2.59 -2.49 0.24
INFO:root:Datetime: 28/07/2021 14:35:52 | position: 2.57 -2.40 0.15
INFO:root:Datetime: 28/07/2021 14:35:52 | position: 2.60 -2.41 0.18
INFO:root:Datetime: 28/07/2021 14:35:52 | position: 2.59 -2.39 0.14
INFO:root:Datetime: 28/07/2021 14:35:53 | position: 2.61 -2.40 0.15
INFO:root:Datetime: 28/07/2021 14:35:53 | position: 2.58 -2.43 0.16
INFO:root:Datetime: 28/07/2021 14:35:53 | position: 2.59 -2.41 0.15
INFO:root:Datetime: 28/07/2021 14:35:53 | position: 2.59 -2.39 0.14
INFO:root:Datetime: 28/07/2021 14:35:54 | position: 2.60 -2.38 0.13
INFO:root:Datetime: 28/07/2021 14:35:54 | position: nan nan nan
INFO:root:Datetime: 28/07/2021 14:35:54 | position: 2.65 -2.44 0.25
INFO:root:Datetime: 28/07/2021 14:35:55 | position: 2.61 -2.42 0.19
INFO:root:Datetime: 28/07/2021 14:35:55 | position: 2.61 -2.43 0.18
INFO:root:Datetime: 28/07/2021 14:35:55 | position: 2.63 -2.60 0.47
INFO:root:Datetime: 28/07/2021 14:35:56 | position: 2.62 -2.54 0.35
INFO:root:Datetime: 28/07/2021 14:35:56 | position: 2.61 -2.88 1.12
INFO:root:Datetime: 28/07/2021 14:35:56 | position: 2.62 -2.56 0.52
INFO:root:Datetime: 28/07/2021 14:35:56 | position: 2.62 -2.44 0.27
INFO:root:Datetime: 28/07/2021 14:35:57 | position: 2.61 -2.40 0.19
INFO:root:Datetime: 28/07/2021 14:35:57 | position: 2.60 -2.42 0.19
INFO:root:Datetime: 28/07/2021 14:35:57 | position: 2.60 -2.42 0.17
INFO:root:Datetime: 28/07/2021 14:35:58 | position: 2.59 -2.42 0.19
INFO:root:Datetime: 28/07/2021 14:35:58 | position: 2.61 -2.38 0.14
INFO:root:Datetime: 28/07/2021 14:35:58 | position: 2.60 -2.42 0.17
INFO:root:Datetime: 28/07/2021 14:35:59 | position: 2.61 -2.38 0.13
INFO:root:Datetime: 28/07/2021 14:35:59 | position: 2.62 -2.40 0.15
INFO:root:Datetime: 28/07/2021 14:35:59 | position: 2.63 -2.53 0.36
INFO:root:Datetime: 28/07/2021 14:35:59 | position: 2.64 -2.45 0.23
INFO:root:Datetime: 28/07/2021 14:36:00 | position: 2.63 -2.51 0.38
INFO:root:Datetime: 28/07/2021 14:36:00 | position: 2.61 -2.45 0.24
INFO:root:Datetime: 28/07/2021 14:36:00 | position: 2.61 -2.48 0.27
INFO:root:Datetime: 28/07/2021 14:36:01 | position: 2.59 -2.43 0.18
INFO:root:Datetime: 28/07/2021 14:36:01 | position: 2.59 -2.52 0.29
