INFO:root:Datetime: 28/07/2021 15:00:12 | position: 2.18 6.03 0.68
INFO:root:Datetime: 28/07/2021 15:00:12 | position: 2.22 6.03 0.73
INFO:root:Datetime: 28/07/2021 15:00:12 | position: 2.44 6.05 0.70
INFO:root:Datetime: 28/07/2021 15:00:12 | position: 2.42 6.06 0.72
INFO:root:Datetime: 28/07/2021 15:00:13 | position: 2.50 6.05 0.79
INFO:root:Datetime: 28/07/2021 15:00:13 | position: 2.34 6.07 0.73
INFO:root:Datetime: 28/07/2021 15:00:13 | position: 2.12 6.10 0.69
INFO:root:Datetime: 28/07/2021 15:00:14 | position: 2.07 6.04 0.80
INFO:root:Datetime: 28/07/2021 15:00:14 | position: 2.04 5.93 0.96
INFO:root:Datetime: 28/07/2021 15:00:14 | position: 2.01 5.80 0.94
INFO:root:Datetime: 28/07/2021 15:00:15 | position: 2.46 5.47 1.00
INFO:root:Datetime: 28/07/2021 15:00:15 | position: 2.27 5.34 1.06
INFO:root:Datetime: 28/07/2021 15:00:15 | position: 3.03 5.03 1.32
INFO:root:Datetime: 28/07/2021 15:00:15 | position: 2.14 5.16 1.22
INFO:root:Datetime: 28/07/2021 15:00:16 | position: 1.86 5.16 1.29
INFO:root:Datetime: 28/07/2021 15:00:16 | position: 1.62 5.06 1.20
INFO:root:Datetime: 28/07/2021 15:00:16 | position: 1.14 5.07 1.37
INFO:root:Datetime: 28/07/2021 15:00:17 | position: 0.95 5.03 1.35
INFO:root:Datetime: 28/07/2021 15:00:17 | position: 1.28 4.82 1.21
INFO:root:Datetime: 28/07/2021 15:00:17 | position: 1.54 4.79 1.14
INFO:root:Datetime: 28/07/2021 15:00:18 | position: 1.61 4.72 0.87
INFO:root:Datetime: 28/07/2021 15:00:18 | position: 1.38 4.69 0.67
INFO:root:Datetime: 28/07/2021 15:00:18 | position: 1.33 4.59 0.69
INFO:root:Datetime: 28/07/2021 15:00:18 | position: 1.18 4.50 0.51
INFO:root:Datetime: 28/07/2021 15:00:19 | position: 0.91 4.60 0.80
INFO:root:Datetime: 28/07/2021 15:00:19 | position: 1.03 4.45 0.62
INFO:root:Datetime: 28/07/2021 15:00:19 | position: 0.79 4.40 0.71
INFO:root:Datetime: 28/07/2021 15:00:20 | position: 0.66 4.42 0.92
INFO:root:Datetime: 28/07/2021 15:00:20 | position: 0.60 4.46 1.01
INFO:root:Datetime: 28/07/2021 15:00:20 | position: 0.54 4.34 0.69
INFO:root:Datetime: 28/07/2021 15:00:21 | position: 0.50 4.20 0.51
INFO:root:Datetime: 28/07/2021 15:00:21 | position: 0.48 4.22 0.54
INFO:root:Datetime: 28/07/2021 15:00:21 | position: 0.65 4.21 0.67
INFO:root:Datetime: 28/07/2021 15:00:21 | position: 0.39 4.23 0.67
INFO:root:Datetime: 28/07/2021 15:00:22 | position: 0.04 4.31 0.85
INFO:root:Datetime: 28/07/2021 15:00:22 | position: 0.06 4.29 0.74
INFO:root:Datetime: 28/07/2021 15:00:22 | position: 0.32 4.31 0.97
INFO:root:Datetime: 28/07/2021 15:00:23 | position: 0.00 4.36 1.03
INFO:root:Datetime: 28/07/2021 15:00:23 | position: -0.23 4.45 1.23
INFO:root:Datetime: 28/07/2021 15:00:23 | position: 0.22 4.37 1.57
INFO:root:Datetime: 28/07/2021 15:00:24 | position: -0.18 4.48 1.34
INFO:root:Datetime: 28/07/2021 15:00:24 | position: -0.12 4.14 0.34
INFO:root:Datetime: 28/07/2021 15:00:24 | position: 0.81 4.30 1.61
INFO:root:Datetime: 28/07/2021 15:00:24 | position: 1.99 4.34 1.53
INFO:root:Datetime: 28/07/2021 15:00:25 | position: nan nan nan
INFO:root:Datetime: 28/07/2021 15:00:25 | position: nan nan nan
INFO:root:Datetime: 28/07/2021 15:00:25 | position: nan nan nan
INFO:root:Datetime: 28/07/2021 15:00:26 | position: nan nan nan
INFO:root:Datetime: 28/07/2021 15:00:39 | position: nan nan nan
INFO:root:Datetime: 28/07/2021 15:00:40 | position: nan nan nan
INFO:root:Datetime: 28/07/2021 15:00:40 | position: 4.07 4.39 -0.20
INFO:root:Datetime: 28/07/2021 15:00:40 | position: nan nan nan
INFO:root:Datetime: 28/07/2021 15:00:41 | position: nan nan nan
INFO:root:Datetime: 28/07/2021 15:00:41 | position: nan nan nan
INFO:root:Datetime: 28/07/2021 15:00:41 | position: 3.26 3.87 2.52
INFO:root:Datetime: 28/07/2021 15:00:42 | position: 3.64 4.03 2.86
INFO:root:Datetime: 28/07/2021 15:00:42 | position: 1.78 3.97 1.32
INFO:root:Datetime: 28/07/2021 15:00:42 | position: 0.94 4.01 0.97
INFO:root:Datetime: 28/07/2021 15:00:42 | position: 0.60 4.06 1.32
INFO:root:Datetime: 28/07/2021 15:00:43 | position: 0.53 4.04 1.28
INFO:root:Datetime: 28/07/2021 15:00:43 | position: 0.64 4.11 1.49
INFO:root:Datetime: 28/07/2021 15:00:43 | position: 0.80 4.08 1.24
INFO:root:Datetime: 28/07/2021 15:00:44 | position: 0.94 4.17 1.28
INFO:root:Datetime: 28/07/2021 15:00:44 | position: 1.24 4.27 1.49
INFO:root:Datetime: 28/07/2021 15:00:44 | position: 1.33 4.42 1.47
INFO:root:Datetime: 28/07/2021 15:00:45 | position: 1.52 4.57 1.37
INFO:root:Datetime: 28/07/2021 15:00:45 | position: 1.90 4.69 1.40
INFO:root:Datetime: 28/07/2021 15:00:45 | position: 1.91 4.86 1.33
INFO:root:Datetime: 28/07/2021 15:00:45 | position: 1.87 5.07 1.12
INFO:root:Datetime: 28/07/2021 15:00:46 | position: 2.28 5.20 1.23
INFO:root:Datetime: 28/07/2021 15:00:46 | position: 2.88 5.24 1.44
INFO:root:Datetime: 28/07/2021 15:00:46 | position: 2.52 5.55 1.12
INFO:root:Datetime: 28/07/2021 15:00:47 | position: 2.46 5.74 0.79
INFO:root:Datetime: 28/07/2021 15:00:47 | position: 2.39 5.91 0.67
INFO:root:Datetime: 28/07/2021 15:00:47 | position: 2.40 5.95 0.49
