INFO:root:Datetime: 28/07/2021 14:57:59 | position: 1.73 6.06 0.57
INFO:root:Datetime: 28/07/2021 14:57:59 | position: 1.66 6.04 0.56
INFO:root:Datetime: 28/07/2021 14:58:00 | position: 2.23 5.87 1.11
INFO:root:Datetime: 28/07/2021 14:58:00 | position: 2.68 5.70 1.53
INFO:root:Datetime: 28/07/2021 14:58:00 | position: 2.95 5.63 1.61
INFO:root:Datetime: 28/07/2021 14:58:01 | position: 2.38 5.89 0.98
INFO:root:Datetime: 28/07/2021 14:58:01 | position: 2.04 5.90 0.94
INFO:root:Datetime: 28/07/2021 14:58:01 | position: 1.68 6.08 0.68
INFO:root:Datetime: 28/07/2021 14:58:02 | position: 1.55 6.03 0.74
INFO:root:Datetime: 28/07/2021 14:58:02 | position: 1.53 5.81 0.81
INFO:root:Datetime: 28/07/2021 14:58:02 | position: 1.49 5.57 0.85
INFO:root:Datetime: 28/07/2021 14:58:02 | position: 1.41 5.44 0.80
INFO:root:Datetime: 28/07/2021 14:58:03 | position: 1.33 5.33 0.56
INFO:root:Datetime: 28/07/2021 14:58:03 | position: 1.28 5.06 0.59
INFO:root:Datetime: 28/07/2021 14:58:03 | position: 1.35 4.66 0.72
INFO:root:Datetime: 28/07/2021 14:58:04 | position: 1.30 4.40 0.70
INFO:root:Datetime: 28/07/2021 14:58:04 | position: 1.03 4.25 0.49
INFO:root:Datetime: 28/07/2021 14:58:04 | position: 1.11 3.95 0.53
INFO:root:Datetime: 28/07/2021 14:58:05 | position: 1.29 3.54 0.63
INFO:root:Datetime: 28/07/2021 14:58:05 | position: 1.29 3.29 0.72
INFO:root:Datetime: 28/07/2021 14:58:05 | position: 1.16 3.10 0.63
INFO:root:Datetime: 28/07/2021 14:58:05 | position: 1.06 2.90 0.61
INFO:root:Datetime: 28/07/2021 14:58:06 | position: 1.15 2.51 0.75
INFO:root:Datetime: 28/07/2021 14:58:06 | position: 1.17 2.13 0.82
INFO:root:Datetime: 28/07/2021 14:58:06 | position: 1.16 1.97 0.75
INFO:root:Datetime: 28/07/2021 14:58:07 | position: 1.14 1.67 0.71
INFO:root:Datetime: 28/07/2021 14:58:07 | position: 1.18 1.25 0.81
INFO:root:Datetime: 28/07/2021 14:58:07 | position: 1.31 0.93 0.86
INFO:root:Datetime: 28/07/2021 14:58:08 | position: 1.29 0.70 0.83
INFO:root:Datetime: 28/07/2021 14:58:08 | position: 1.32 0.44 0.76
INFO:root:Datetime: 28/07/2021 14:58:08 | position: 1.43 -0.10 0.78
INFO:root:Datetime: 28/07/2021 14:58:08 | position: 1.46 -0.38 0.72
